Magma V2.28-11    Sun May  4 2025 20:19:19 on kashi    [Seed = 1529148400]

+-------------------------------------------------------------------+
|       This copy of Magma has been made available through a        |
|                   generous initiative of the                      |
|                                                                   |
|                         Simons Foundation                         |
|                                                                   |
| covering U.S. Colleges, Universities, Nonprofit Research entities,|
|               and their students, faculty, and staff              |
+-------------------------------------------------------------------+

Type ? for help.  Type <Ctrl>-D to quit.

Loading file "/home/nguyen7/QuantumCode/CyclicCode/Input/q3_n66.m"
Quantum Code Found: [[66, 56, 2]] over GF(3)
Quantum Code Found: [[66, 46, 2]] over GF(3)
Quantum Code Found: [[66, 36, 2]] over GF(3)
Quantum Code Found: [[66, 56, 2]] over GF(3)
Quantum Code Found: [[66, 46, 2]] over GF(3)
Quantum Code Found: [[66, 36, 3]] over GF(3)
Quantum Code Found: [[66, 26, 4]] over GF(3)
Quantum Code Found: [[66, 46, 2]] over GF(3)
Quantum Code Found: [[66, 36, 3]] over GF(3)
Quantum Code Found: [[66, 26, 3]] over GF(3)
Quantum Code Found: [[66, 16, 5]] over GF(3)
Quantum Code Found: [[66, 36, 2]] over GF(3)
Quantum Code Found: [[66, 26, 4]] over GF(3)
Quantum Code Found: [[66, 16, 5]] over GF(3)
Quantum Code Found: [[66, 6, 5]] over GF(3)
Quantum Code Found: [[66, 56, 2]] over GF(3)
Quantum Code Found: [[66, 46, 2]] over GF(3)
Quantum Code Found: [[66, 36, 2]] over GF(3)
Quantum Code Found: [[66, 46, 2]] over GF(3)
Quantum Code Found: [[66, 36, 2]] over GF(3)
Quantum Code Found: [[66, 26, 3]] over GF(3)
Quantum Code Found: [[66, 36, 3]] over GF(3)
Quantum Code Found: [[66, 26, 3]] over GF(3)
Quantum Code Found: [[66, 16, 3]] over GF(3)
Quantum Code Found: [[66, 26, 4]] over GF(3)
Quantum Code Found: [[66, 16, 4]] over GF(3)
