Magma V2.28-11    Sun May  4 2025 20:19:19 on kashi    [Seed = 1211621628]

+-------------------------------------------------------------------+
|       This copy of Magma has been made available through a        |
|                   generous initiative of the                      |
|                                                                   |
|                         Simons Foundation                         |
|                                                                   |
| covering U.S. Colleges, Universities, Nonprofit Research entities,|
|               and their students, faculty, and staff              |
+-------------------------------------------------------------------+

Type ? for help.  Type <Ctrl>-D to quit.

Loading file "/home/nguyen7/QuantumCode/CyclicCode/Input/q7_n64.m"
Quantum Code Found: [[64, 48, 2]] over GF(7)
Quantum Code Found: [[64, 48, 2]] over GF(7)
Quantum Code Found: [[64, 32, 2]] over GF(7)
Quantum Code Found: [[64, 48, 2]] over GF(7)
Quantum Code Found: [[64, 32, 2]] over GF(7)
Quantum Code Found: [[64, 48, 2]] over GF(7)
Quantum Code Found: [[64, 32, 2]] over GF(7)
Quantum Code Found: [[64, 32, 2]] over GF(7)
Quantum Code Found: [[64, 56, 2]] over GF(7)
Quantum Code Found: [[64, 40, 3]] over GF(7)
Quantum Code Found: [[64, 40, 3]] over GF(7)
Quantum Code Found: [[64, 24, 4]] over GF(7)
Quantum Code Found: [[64, 40, 3]] over GF(7)
Quantum Code Found: [[64, 24, 4]] over GF(7)
Quantum Code Found: [[64, 40, 3]] over GF(7)
Quantum Code Found: [[64, 24, 4]] over GF(7)
Quantum Code Found: [[64, 24, 4]] over GF(7)
Quantum Code Found: [[64, 56, 2]] over GF(7)
Quantum Code Found: [[64, 40, 3]] over GF(7)
Quantum Code Found: [[64, 40, 3]] over GF(7)
Quantum Code Found: [[64, 24, 4]] over GF(7)
Quantum Code Found: [[64, 40, 3]] over GF(7)
Quantum Code Found: [[64, 24, 4]] over GF(7)
Quantum Code Found: [[64, 40, 3]] over GF(7)
Quantum Code Found: [[64, 24, 4]] over GF(7)
Quantum Code Found: [[64, 24, 4]] over GF(7)
Quantum Code Found: [[64, 48, 2]] over GF(7)
Quantum Code Found: [[64, 32, 4]] over GF(7)
