Magma V2.28-11    Sun May  4 2025 20:19:19 on kashi    [Seed = 1261757439]

+-------------------------------------------------------------------+
|       This copy of Magma has been made available through a        |
|                   generous initiative of the                      |
|                                                                   |
|                         Simons Foundation                         |
|                                                                   |
| covering U.S. Colleges, Universities, Nonprofit Research entities,|
|               and their students, faculty, and staff              |
+-------------------------------------------------------------------+

Type ? for help.  Type <Ctrl>-D to quit.

Loading file "/home/nguyen7/QuantumCode/CyclicCode/Input/q5_n48.m"
Quantum Code Found: [[48, 40, 2]] over GF(5)
Quantum Code Found: [[48, 40, 2]] over GF(5)
Quantum Code Found: [[48, 32, 2]] over GF(5)
Quantum Code Found: [[48, 40, 2]] over GF(5)
Quantum Code Found: [[48, 32, 2]] over GF(5)
Quantum Code Found: [[48, 40, 2]] over GF(5)
Quantum Code Found: [[48, 32, 2]] over GF(5)
Quantum Code Found: [[48, 32, 2]] over GF(5)
Quantum Code Found: [[48, 40, 2]] over GF(5)
Quantum Code Found: [[48, 32, 2]] over GF(5)
Quantum Code Found: [[48, 32, 2]] over GF(5)
Quantum Code Found: [[48, 24, 2]] over GF(5)
Quantum Code Found: [[48, 32, 2]] over GF(5)
Quantum Code Found: [[48, 24, 2]] over GF(5)
Quantum Code Found: [[48, 32, 2]] over GF(5)
Quantum Code Found: [[48, 24, 2]] over GF(5)
Quantum Code Found: [[48, 24, 2]] over GF(5)
Quantum Code Found: [[48, 40, 2]] over GF(5)
Quantum Code Found: [[48, 32, 2]] over GF(5)
Quantum Code Found: [[48, 32, 2]] over GF(5)
Quantum Code Found: [[48, 24, 2]] over GF(5)
Quantum Code Found: [[48, 32, 2]] over GF(5)
Quantum Code Found: [[48, 24, 2]] over GF(5)
Quantum Code Found: [[48, 32, 2]] over GF(5)
Quantum Code Found: [[48, 24, 2]] over GF(5)
Quantum Code Found: [[48, 24, 2]] over GF(5)
Quantum Code Found: [[48, 44, 2]] over GF(5)
Quantum Code Found: [[48, 36, 3]] over GF(5)
Quantum Code Found: [[48, 36, 3]] over GF(5)
Quantum Code Found: [[48, 28, 3]] over GF(5)
Quantum Code Found: [[48, 36, 3]] over GF(5)
Quantum Code Found: [[48, 28, 3]] over GF(5)
Quantum Code Found: [[48, 36, 3]] over GF(5)
Quantum Code Found: [[48, 28, 3]] over GF(5)
Quantum Code Found: [[48, 28, 3]] over GF(5)
Quantum Code Found: [[48, 36, 3]] over GF(5)
Quantum Code Found: [[48, 28, 4]] over GF(5)
Quantum Code Found: [[48, 28, 3]] over GF(5)
Quantum Code Found: [[48, 20, 4]] over GF(5)
Quantum Code Found: [[48, 28, 3]] over GF(5)
Quantum Code Found: [[48, 20, 3]] over GF(5)
Quantum Code Found: [[48, 28, 4]] over GF(5)
Quantum Code Found: [[48, 20, 4]] over GF(5)
Quantum Code Found: [[48, 20, 4]] over GF(5)
Quantum Code Found: [[48, 36, 3]] over GF(5)
Quantum Code Found: [[48, 28, 3]] over GF(5)
Quantum Code Found: [[48, 28, 4]] over GF(5)
Quantum Code Found: [[48, 20, 4]] over GF(5)
Quantum Code Found: [[48, 28, 4]] over GF(5)
Quantum Code Found: [[48, 20, 4]] over GF(5)
