Magma V2.28-11    Sun May  4 2025 19:26:43 on kashi    [Seed = 2515159432]

+-------------------------------------------------------------------+
|       This copy of Magma has been made available through a        |
|                   generous initiative of the                      |
|                                                                   |
|                         Simons Foundation                         |
|                                                                   |
| covering U.S. Colleges, Universities, Nonprofit Research entities,|
|               and their students, faculty, and staff              |
+-------------------------------------------------------------------+

Type ? for help.  Type <Ctrl>-D to quit.

Loading file "/home/nguyen7/QuantumCode/QECC_FromQT/auto_run_theorem_3/Input/q2\
_n60.m"
Quantum Code Found: [[60, 20, ≥ 5]]
Quantum Code Found: [[60, 16, ≥ 5]]
Quantum Code Found: [[60, 28, ≥ 3]]
Quantum Code Found: [[60, 24, ≥ 5]]
Quantum Code Found: [[60, 20, ≥ 5]]
Quantum Code Found: [[60, 16, ≥ 5]]
Quantum Code Found: [[60, 12, ≥ 5]]
Quantum Code Found: [[60, 56, ≥ 2]]
Quantum Code Found: [[60, 52, ≥ 2]]
Quantum Code Found: [[60, 48, ≥ 2]]
Quantum Code Found: [[60, 44, ≥ 3]]
Quantum Code Found: [[60, 40, ≥ 3]]
Quantum Code Found: [[60, 52, ≥ 2]]
Quantum Code Found: [[60, 48, ≥ 2]]
Quantum Code Found: [[60, 44, ≥ 2]]
Quantum Code Found: [[60, 40, ≥ 3]]
Quantum Code Found: [[60, 36, ≥ 3]]
Quantum Code Found: [[60, 48, ≥ 2]]
Quantum Code Found: [[60, 44, ≥ 2]]
Quantum Code Found: [[60, 40, ≥ 2]]
Quantum Code Found: [[60, 36, ≥ 3]]
Quantum Code Found: [[60, 32, ≥ 3]]
Quantum Code Found: [[60, 44, ≥ 2]]
Quantum Code Found: [[60, 40, ≥ 3]]
Quantum Code Found: [[60, 36, ≥ 3]]
Quantum Code Found: [[60, 32, ≥ 3]]
Quantum Code Found: [[60, 28, ≥ 3]]
Quantum Code Found: [[60, 52, ≥ 2]]
Quantum Code Found: [[60, 48, ≥ 2]]
Quantum Code Found: [[60, 44, ≥ 2]]
Quantum Code Found: [[60, 40, ≥ 4]]
Quantum Code Found: [[60, 36, ≥ 4]]
Quantum Code Found: [[60, 48, ≥ 2]]
Quantum Code Found: [[60, 44, ≥ 2]]
Quantum Code Found: [[60, 40, ≥ 2]]
Quantum Code Found: [[60, 36, ≥ 4]]
Quantum Code Found: [[60, 32, ≥ 4]]
Quantum Code Found: [[60, 44, ≥ 2]]
Quantum Code Found: [[60, 40, ≥ 2]]
Quantum Code Found: [[60, 36, ≥ 2]]
Quantum Code Found: [[60, 32, ≥ 4]]
Quantum Code Found: [[60, 28, ≥ 4]]
Quantum Code Found: [[60, 40, ≥ 3]]
Quantum Code Found: [[60, 36, ≥ 4]]
Quantum Code Found: [[60, 32, ≥ 4]]
Quantum Code Found: [[60, 28, ≥ 4]]
Quantum Code Found: [[60, 24, ≥ 5]]
Quantum Code Found: [[60, 48, ≥ 2]]
Quantum Code Found: [[60, 44, ≥ 2]]
Quantum Code Found: [[60, 40, ≥ 2]]
Quantum Code Found: [[60, 36, ≥ 4]]
Quantum Code Found: [[60, 32, ≥ 4]]
Quantum Code Found: [[60, 44, ≥ 2]]
Quantum Code Found: [[60, 40, ≥ 2]]
Quantum Code Found: [[60, 36, ≥ 2]]
Quantum Code Found: [[60, 32, ≥ 4]]
Quantum Code Found: [[60, 28, ≥ 4]]
Quantum Code Found: [[60, 40, ≥ 2]]
Quantum Code Found: [[60, 36, ≥ 2]]
Quantum Code Found: [[60, 32, ≥ 2]]
Quantum Code Found: [[60, 28, ≥ 4]]
Quantum Code Found: [[60, 24, ≥ 4]]
Quantum Code Found: [[60, 36, ≥ 3]]
Quantum Code Found: [[60, 32, ≥ 4]]
Quantum Code Found: [[60, 28, ≥ 4]]
Quantum Code Found: [[60, 24, ≥ 4]]
