Magma V2.28-11    Sun May  4 2025 19:26:43 on kashi    [Seed = 2114036320]

+-------------------------------------------------------------------+
|       This copy of Magma has been made available through a        |
|                   generous initiative of the                      |
|                                                                   |
|                         Simons Foundation                         |
|                                                                   |
| covering U.S. Colleges, Universities, Nonprofit Research entities,|
|               and their students, faculty, and staff              |
+-------------------------------------------------------------------+

Type ? for help.  Type <Ctrl>-D to quit.

Loading file "/home/nguyen7/QuantumCode/QECC_FromQT/auto_run_theorem_3/Input/q3\
_n60.m"
Quantum Code Found: [[60, 56, ≥ 2]]
Quantum Code Found: [[60, 52, ≥ 2]]
Quantum Code Found: [[60, 48, ≥ 2]]
Quantum Code Found: [[60, 56, ≥ 2]]
Quantum Code Found: [[60, 52, ≥ 2]]
Quantum Code Found: [[60, 48, ≥ 3]]
Quantum Code Found: [[60, 44, ≥ 3]]
Quantum Code Found: [[60, 52, ≥ 2]]
Quantum Code Found: [[60, 48, ≥ 3]]
Quantum Code Found: [[60, 44, ≥ 3]]
Quantum Code Found: [[60, 40, ≥ 3]]
Quantum Code Found: [[60, 48, ≥ 2]]
Quantum Code Found: [[60, 44, ≥ 3]]
Quantum Code Found: [[60, 40, ≥ 3]]
Quantum Code Found: [[60, 36, ≥ 3]]
Quantum Code Found: [[60, 56, ≥ 2]]
Quantum Code Found: [[60, 52, ≥ 2]]
Quantum Code Found: [[60, 48, ≥ 2]]
Quantum Code Found: [[60, 44, ≥ 2]]
Quantum Code Found: [[60, 52, ≥ 2]]
Quantum Code Found: [[60, 48, ≥ 2]]
Quantum Code Found: [[60, 44, ≥ 3]]
Quantum Code Found: [[60, 40, ≥ 4]]
Quantum Code Found: [[60, 48, ≥ 3]]
Quantum Code Found: [[60, 44, ≥ 3]]
Quantum Code Found: [[60, 40, ≥ 3]]
Quantum Code Found: [[60, 36, ≥ 4]]
Quantum Code Found: [[60, 44, ≥ 3]]
